field,code,label,n_2022_2023
causa,100,Rayo,1207
causa,210,Otras quemas agrícolas,32
causa,211,Quema agrícola (quema de rastrojos),229
causa,212,Quema de restos de poda,400
causa,213,"Quema de restos agrícolas (viñas,etc)",51
causa,214,Quema de restos horto-frutícolas,23
causa,215,Quema de pacas,5
causa,216,Quema para limpieza de fincas (excepto rastrojos),103
causa,220,Otras quemas ganaderas,2
causa,221,Quema de matorral,60
causa,222,Quema de herbáceas,33
causa,230,Otras quemas en trabajos forestales (conocidas),11
causa,231,Quemas de eliminación de restos forestales,233
causa,240,Otros tipos de hogueras (conocidas),8
causa,241,Hogueras,129
causa,242,Barbacoas fijas,12
causa,243,"Hogueras y barbacoas -Elementos portátiles (hornilllos, etc.)",19
causa,244,Vertidos de brasas y/o cenizas,83
causa,250,Fumadores,290
causa,260,Otros incendios por quema de basuras (conocidas),9
causa,261,Punto ilegal de vertidos/ Zona de acumulación de basuras,54
causa,262,Quema puntual de basura,97
causa,270,Escape de vertedero,22
causa,280,Otras quemas de limpieza,18
causa,281,Limpieza de vegetación próxima a edificaciones,41
causa,282,"Limpieza de accesos (pistas, caminos , sendas, etc)",38
causa,283,"Limpieza de vegetación para control de animales nocivos (plagas, conejos, etc.)",6
causa,284,Limpieza de lindes y bordes de finca,106
causa,285,"Limpiezas de riberas y cauces (Cañar, etc)",76
causa,286,"Limpieza de infraestructuras de riego (acequias,cavas, etc.)",45
causa,290,Otras causas no intencionales,33
causa,291,Apicultura,26
causa,292,"Fuegos artificiales (petardos, cohetes,etc.)",86
causa,293,Globos aerostáticos,1
causa,294,"Gamberradas, juegos de niños (quema de pelusa de chopo, etc)",156
causa,295,Quema de restos de poda o jardinería en urbanizaciones,23
causa,296,Empleo de explosivos,1
causa,297,"Incendios en infraestructuras (edificios, naves, mobiliario urbano, etc)",12
causa,298,Herraduras de caballo,1
causa,299,"Ritos pseudoreligiosos, satanismo, etc",4
causa,300,Quema de cables para extraer cobre,17
causa,301,Pavesas de incendios próximos,6
causa,302,"Caza (cartuchos, cañones de redes, etc)",2
causa,303,Escape de chispas desde chimeneas,2
causa,310,Otras causas por ferrocarril,6
causa,311,Ferrocarril (provocado por el convoy),46
causa,312,Ferrocarril (Catenaria),17
causa,320,Otras causas por líneas eléctricas,58
causa,321,Caída de torreta o poste,4
causa,322,Rotura de tendido eléctrico o sobretensión,104
causa,323,Impactos o contactos con fauna,68
causa,324,Impactos o contactos con vegetación,62
causa,325,"Impactos o contactos con otros elementos (vehículos, personas, etc)",17
causa,326,Transformadores de la red eléctrica,31
causa,327,Aerogenerador,5
causa,328,Huerto solar/placas solares,3
causa,330,Otro tipo de motores o maquinaria (sin especificar),47
causa,331,Maquinaria (cosechadoras),182
causa,332,Maquinaria (Empacadoras),18
causa,333,Maquinaria (autocargador/cosechadora forestal),8
causa,334,Escapes de vehículos (ligeros y pesados),106
causa,335,"Quema intencionada de vehículos (delincuencia, vandalismo)",16
causa,336,"Accidentes de vehículos (incendios fortuitos, accidentes de tráfico, etc.)",181
causa,337,Transformadores/generadores eléctricos (portátiles),7
causa,340,Otras causas en actividades militares,1
causa,341,Desarrollos de maniobras en campos de tiro,9
causa,342,Explosiones de artefactos abandonados,1
causa,350,Herramientas mecánicas (otras),20
causa,351,Herramientas mecánicas (Desbrozadoras/astilladora),43
causa,352,Herramientas mecánicas (Hiladora),2
causa,353,Herramientas mecánicas (Enfardadora),2
causa,354,Herramientas mecánicas (Segadoras),17
causa,355,Herramientas mecánicas (bombas y motores de riego),6
causa,356,Herramientas mecánicas otras (conocidas),6
causa,360,Herramientas manuales (otras),7
causa,361,Herramientas manuales (Radial/Amoladora),59
causa,362,Herramientas manuales (Soldadura),17
causa,363,Herramientas manuales (Desbrozadora),29
causa,364,Herramientas manuales (Motosierras),13
causa,365,Herramientas manuales otras (conocidas),2
causa,370,Escape de otras quemas controladas (conocidas),8
causa,371,Escape de quema controlada en trabajos preventivos,12
causa,372,Escape de quema controlada para limpieza y regeneración de fincas ganaderas,14
causa,399,Otras causas no intencionales (conocidas),59
causa,400,Intencionado,7117
causa,500,Desconocida,1181
causa,600,Reproducido,233
motivacion,400,Motivación desconocida,1637
motivacion,401,Incendios causados por quemas realizadas en el desempeño de prácticas agrícolas que se dejan arder incontroladamente y pasan al monte o bien directamente son iniciados en terreno forestal.,1013
motivacion,402,Incendios causados por quemas realizadas en el desempeño de prácticas ganaderas que se dejan arder incontroladamente y pasan al monte o bien directamente son iniciados en terreno forestal.,2009
motivacion,403,"Incendios provocados en terrenos forestales para control de animales (conejos, lobos, jabalíes, plagas etc.) que causan daños en los cultivos , ganados aprovechamientos forestales, etc",140
motivacion,404,"Incendios provocados para eliminar vegetación de montes en explotaciones forestales (castañares, robledales, choperas, etc)",91
motivacion,405,"Incendios provocados para mantener libre de vegetación el monte, bajo un concepto tradicional del paisaje, sin pretender otro beneficio",659
motivacion,411,Incendios provocados para facilitar o favorecer la caza,92
motivacion,412,Incendios provocados por conflictos cinegéticos,38
motivacion,421,Incendios provocados para facilitar el ejercicio de la pesca,15
motivacion,431,Incendios provocados por disensiones o disputas en cuanto a la titularidad de los montes públicos o privados,7
motivacion,432,Incendios provocados para obtener la modificación del uso del suelo,13
motivacion,433,Incendios provocados para modificar la linde de la propiedad,12
motivacion,434,Incendios provocados para eliminar vegetación forestal en lindes,225
motivacion,441,Incendios provocados para hacer modificar el precio de la madera,4
motivacion,442,"Incendios provocados para obtener un beneficio (salarios, notoriedad, etc) en su extinción o en la restauración posterior de las superficies incendiadas",6
motivacion,444,"Incendios provocados para favorecer la producción de productos del monte (setas, etc.)",10
motivacion,451,Incendios provocados para crear malestar y alarma social,271
motivacion,452,Incendios provocados por animadversión contra repoblaciones forestales,7
motivacion,453,Incendios provocados por rechazo a la creación o existencia de Espacios Naturales Protegidos,15
motivacion,463,Incendios provocados como represalia por multas impuestas,1
motivacion,464,Incendios provocados por venganzas,156
motivacion,471,Incendios provocados para distraer a la Guardia Civil o la Policía,14
motivacion,472,"Incendios provocados para reclamar la presencia de policía o Guardia Civil o llamar la atención de autoridades sobre un problema (zonas con prostitución, drogadicción, etc)",2
motivacion,481,Incendios provocados para contemplar las labores de extinción,6
motivacion,482,"Incendios provocados por vandalismo (gamberradas,etc)",369
motivacion,483,Incendios provocados por enfermos mentales (pirómanos y otras),183
motivacion,484,Incendios provocados en ritos pseudoreligiosos o satánicos,1
motivacion,499,Otras motivaciones (conocidas),121
