Season,Cause,Cause (English),Fires,Fires (%),Total (ha),Total (% of ha)
2010-2011,"Tránsito de personas, vehículos o aeronaves","Movement of people, vehicles or aircraft",1633,33.54,12606.63,20.52
2010-2011,Incendios intencionales,Intentional fires,1608,33.03,14000.25,22.79
2010-2011,Actividades recreativas,Recreational activities,474,9.74,3614.14,5.88
2010-2011,Quema de desechos,Burning of waste,218,4.48,529.89,0.86
2010-2011,Incendios de causa desconocida,Fires of unknown cause,216,4.44,19052.16,31.01
2010-2011,Faenas agrícolas y pecuarias,Agricultural and livestock operations,206,4.23,3471.76,5.65
2010-2011,Faenas forestales,Forestry operations,187,3.84,808.58,1.32
2010-2011,Accidentes eléctricos,Electrical accidents,121,2.49,2581.04,4.20
2010-2011,Otras actividades,Other activities,71,1.46,3522.22,5.73
2010-2011,Confección y/o extracción productos secundarios del bosque,Gathering and processing of non-timber forest products,59,1.21,1134.69,1.85
2010-2011,"Actividades extinción incendios forestales, incendios estructurales u otros","Wildfire, structural and other fire suppression activities",42,0.86,69.75,0.11
2010-2011,Operaciones en vías férreas,Railway operations,16,0.33,40.95,0.07
2010-2011,Incendios naturales,Natural fires,12,0.25,12.92,0.02
2010-2011,(specific cause only),,1,0.02,0.00,0.00
2010-2011,(unreconciled cause),,5,0.10,0.00,0.00
2011-2012,Incendios intencionales,Intentional fires,2367,43.52,35639.63,49.49
2011-2012,"Tránsito de personas, vehículos o aeronaves","Movement of people, vehicles or aircraft",1435,26.38,10620.21,14.75
2011-2012,Actividades recreativas,Recreational activities,371,6.82,1118.23,1.55
2011-2012,Quema de desechos,Burning of waste,217,3.99,665.52,0.92
2011-2012,Faenas forestales,Forestry operations,205,3.77,614.90,0.85
2011-2012,Faenas agrícolas y pecuarias,Agricultural and livestock operations,179,3.29,1494.59,2.08
2011-2012,Incendios de causa desconocida,Fires of unknown cause,155,2.85,7108.53,9.87
2011-2012,Accidentes eléctricos,Electrical accidents,128,2.35,7844.43,10.89
2011-2012,"Actividades extinción incendios forestales, incendios estructurales u otros","Wildfire, structural and other fire suppression activities",66,1.21,250.99,0.35
2011-2012,Confección y/o extracción productos secundarios del bosque,Gathering and processing of non-timber forest products,57,1.05,4448.55,6.18
2011-2012,Otras actividades,Other activities,55,1.01,227.97,0.32
2011-2012,Operaciones en vías férreas,Railway operations,17,0.31,54.69,0.08
2011-2012,Incendios naturales,Natural fires,15,0.28,16.79,0.02
2011-2012,(no cause published),,172,3.16,1907.61,2.65
2012-2013,Incendios intencionales,Intentional fires,2030,36.49,4018.30,23.78
2012-2013,"Tránsito de personas, vehículos o aeronaves","Movement of people, vehicles or aircraft",1828,32.86,4638.82,27.45
2012-2013,Actividades recreativas,Recreational activities,371,6.67,816.34,4.83
2012-2013,Faenas forestales,Forestry operations,269,4.84,916.11,5.42
2012-2013,Faenas agrícolas y pecuarias,Agricultural and livestock operations,264,4.75,1925.25,11.39
2012-2013,Quema de desechos,Burning of waste,242,4.35,327.62,1.94
2012-2013,Incendios de causa desconocida,Fires of unknown cause,169,3.04,1602.01,9.48
2012-2013,Accidentes eléctricos,Electrical accidents,120,2.16,1079.46,6.39
2012-2013,Otras actividades,Other activities,59,1.06,254.67,1.51
2012-2013,"Actividades extinción incendios forestales, incendios estructurales u otros","Wildfire, structural and other fire suppression activities",49,0.88,191.19,1.13
2012-2013,Confección y/o extracción productos secundarios del bosque,Gathering and processing of non-timber forest products,47,0.84,246.27,1.46
2012-2013,Incendios naturales,Natural fires,13,0.23,1.58,0.01
2012-2013,Operaciones en vías férreas,Railway operations,13,0.23,19.43,0.11
2012-2013,(no cause published),,89,1.60,859.71,5.09
2013-2014,Incendios intencionales,Intentional fires,2217,34.99,19547.84,18.44
2013-2014,"Tránsito de personas, vehículos o aeronaves","Movement of people, vehicles or aircraft",2201,34.74,37656.78,35.53
2013-2014,Incendios de causa desconocida,Fires of unknown cause,380,6.00,10787.47,10.18
2013-2014,Actividades recreativas,Recreational activities,312,4.92,1366.86,1.29
2013-2014,Faenas forestales,Forestry operations,273,4.31,4285.16,4.04
2013-2014,Quema de desechos,Burning of waste,271,4.28,1629.57,1.54
2013-2014,Faenas agrícolas y pecuarias,Agricultural and livestock operations,262,4.14,4823.11,4.55
2013-2014,Accidentes eléctricos,Electrical accidents,161,2.54,20275.97,19.13
2013-2014,"Actividades extinción incendios forestales, incendios estructurales u otros","Wildfire, structural and other fire suppression activities",97,1.53,972.31,0.92
2013-2014,Otras actividades,Other activities,57,0.90,1171.35,1.11
2013-2014,Confección y/o extracción productos secundarios del bosque,Gathering and processing of non-timber forest products,56,0.88,1500.44,1.42
2013-2014,Incendios naturales,Natural fires,22,0.35,1769.87,1.67
2013-2014,Operaciones en vías férreas,Railway operations,17,0.27,14.18,0.01
2013-2014,(no cause published),,10,0.16,191.36,0.18
2014-2015,Incendios intencionales,Intentional fires,3269,40.64,57277.87,44.52
2014-2015,"Tránsito de personas, vehículos o aeronaves","Movement of people, vehicles or aircraft",2519,31.32,16467.98,12.80
2014-2015,Incendios de causa desconocida,Fires of unknown cause,452,5.62,13204.31,10.26
2014-2015,Actividades recreativas,Recreational activities,349,4.34,3712.82,2.89
2014-2015,Faenas forestales,Forestry operations,344,4.28,2183.11,1.70
2014-2015,Faenas agrícolas y pecuarias,Agricultural and livestock operations,289,3.59,7261.82,5.64
2014-2015,Quema de desechos,Burning of waste,275,3.42,2041.25,1.59
2014-2015,Accidentes eléctricos,Electrical accidents,171,2.13,6278.07,4.88
2014-2015,"Actividades extinción incendios forestales, incendios estructurales u otros","Wildfire, structural and other fire suppression activities",131,1.63,1793.95,1.39
2014-2015,Otras actividades,Other activities,72,0.90,998.20,0.78
2014-2015,Incendios naturales,Natural fires,57,0.71,8298.05,6.45
