Season,Cause,Cause (English),Fires,Fires (%),Total (ha),Total (% of ha)
2010-2011,Incendios naturales,Natural fires,12,0.25,12.92,0.02
2011-2012,Incendios naturales,Natural fires,15,0.28,16.79,0.02
2012-2013,Incendios naturales,Natural fires,13,0.23,1.58,0.01
2013-2014,Incendios naturales,Natural fires,22,0.35,1769.87,1.67
2014-2015,Incendios naturales,Natural fires,57,0.71,8298.05,6.45
2015-2016,Incendios naturales,Natural fires,19,0.28,8.04,0.02
2016-2017,Incendios naturales,Natural fires,16,0.31,82.25,0.01
2018-2019,Incendios naturales,Natural fires,56,0.78,2103.94,2.64
2019-2020,Incendios naturales,Natural fires,23,0.28,8.63,0.01
2020-2021,Incendios naturales,Natural fires,56,0.80,108.29,0.32
2021-2022,Incendios naturales,Natural fires,25,0.36,32.74,0.03
2022-2023,Incendios naturales,Natural fires,2,0.03,0.04,0.00
2023-2024,Incendios naturales,Natural fires,31,0.62,2124.29,3.33
2024-2025,Incendios naturales,Natural fires,14,0.22,37.97,0.04
Total,Incendios naturales,Natural fires,361,0.38,14605.41,0.74
