Country,Season,Fires,Dated,Minimum (ha),Maximum (ha),Total (ha)
Argentina,2013-2014,2,0,7.72,14.50,22.22
Argentina,2014-2015,1,0,0.56,0.56,0.56
Argentina,2015-2016,1,0,1.50,1.50,1.50
Argentina,Total,4,0,0.56,14.50,24.28
Chile,2010-2011,4865,0,0.00,16211.50,61438.26
Chile,2011-2012,5385,0,0.00,24895.70,71977.68
Chile,2012-2013,5558,0,0.00,523.40,16895.52
Chile,2013-2014,6329,0,0.00,14805.00,105968.99
Chile,2014-2015,8036,0,0.00,13833.00,128635.00
Chile,2015-2016,6776,0,0.00,2082.10,42082.87
Chile,2016-2017,5232,0,0.00,159812.58,569618.08
Chile,2017-2018,6047,6047,0.00,2245.02,38538.30
Chile,2018-2019,7200,0,0.00,15145.00,79838.07
Chile,2019-2020,8127,8127,0.00,14987.90,102291.67
Chile,2020-2021,7029,7029,0.00,3420.03,34128.09
Chile,2021-2022,6946,6946,0.00,13768.00,125315.33
Chile,2022-2023,6978,6978,0.00,69080.51,429101.42
Chile,2023-2024,4994,4994,0.00,8656.50,63830.99
Chile,2024-2025,6269,6269,0.00,5823.61,91673.32
Chile,Total,95771,46390,0.00,159812.58,1961333.60
